Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Country_Encoded
TRADITIONAL MODELLING CLAY,-0.033391992602498234,2011-11-27 12:31:00,-0.08446468101554117,13064,United Kingdom,-0.04415495213165866,35
WOOD STAMP SET THANK YOU,-0.06684957445675406,2011-12-08 13:18:00,-0.10347105591793004,16892,United Kingdom,-0.06978016087471577,35
LUNCH BAG  BLACK SKULL.,-0.044544519887250174,2011-10-10 13:38:00,-0.0663633715846946,14451,United Kingdom,-0.04577270520887186,35
BLUE SPOT CERAMIC DRAWER KNOB,-0.038968256244874204,2011-10-26 12:46:00,-0.07541402630011788,14102,United Kingdom,-0.044316727439379984,35
PANTRY KITCHEN THERMOMETER ,-0.06684957445675406,2011-11-13 16:03:00,-0.08446468101554117,18069,United Kingdom,-0.06842124828985667,35
POSTAGE,-0.044544519887250174,2011-11-17 12:56:00,0.6735276514011588,12647,Germany,0.21872992291548646,14
SET OF 5 MINI GROCERY MAGNETS,-0.06127331081437809,2011-05-08 11:08:00,-0.04690446394653453,16923,United Kingdom,-0.05900592538047584,35
REGENCY CAKESTAND 3 TIER,-0.038968256244874204,2011-11-13 14:45:00,0.4359479651212976,14911,EIRE,0.17505058983073005,10
SET OF 6 T-LIGHTS SANTA,-0.038968256244874204,2011-07-27 11:29:00,-0.007534115934443245,15172,United Kingdom,-0.01519717204954236,35
BLUE STRIPE CERAMIC DRAWER KNOB,0.061404489317893295,2011-11-08 13:52:00,-0.07541402630011788,16618,United Kingdom,0.040129983191149084,35
PACK OF 12 HEARTS DESIGN TISSUES ,-0.005510674390618371,2011-09-29 14:38:00,-0.12338249629186127,12937,United Kingdom,-0.05732346218017411,35
WHITE BROCANTE SOAP DISH,-0.06127331081437809,2011-07-13 12:18:00,-0.007534115934443245,16225,United Kingdom,-0.053376144671773894,35
JIGSAW TREE WITH BIRDHOUSE,-0.005510674390618371,2011-06-12 13:22:00,-0.114331841576438,17422,United Kingdom,-0.04955824740955075,35
PACK 3 BOXES BIRD PANNETONE ,-0.005510674390618371,2011-08-19 15:29:00,-0.05278738951155967,14709,United Kingdom,0.0032452130306881138,35
STRAWBERRY   PICNIC BAG,-0.06684957445675406,2011-03-24 13:37:00,-0.007534115934443245,12748,United Kingdom,-0.0629208878273318,35
PARTY BUNTING,-0.05569704717200212,2011-07-17 12:14:00,0.08297243121978959,16931,United Kingdom,-0.02441836458965761,35
VINTAGE LEAF MAGNETIC NOTEPAD,-0.06684957445675406,2011-10-26 13:01:00,-0.07541402630011788,17841,United Kingdom,-0.06777414705897139,35
EDWARDIAN PARASOL NATURAL,-0.038968256244874204,2011-09-22 12:00:00,0.128225704796906,13089,United Kingdom,0.043041938730132866,35
LUNCH BAG RED RETROSPOT,-0.016663201675370314,2011-05-09 14:40:00,-0.0663633715846946,16477,United Kingdom,-0.01907977943485405,35
ALARM CLOCK BAKELIKE GREEN,-0.027815728960122257,2011-10-31 13:51:00,0.02866850292724988,17675,United Kingdom,0.024599553649902368,35
 4 PURPLE FLOCK DINNER CANDLES,-0.005510674390618371,2011-12-07 14:52:00,-0.1052811868610147,16779,United Kingdom,-0.041793032638927384,35
SMALL FOLDING SCISSOR(POINTED EDGE),0.32906514415193994,2011-03-09 10:51:00,-0.12971795459265759,16221,United Kingdom,-0.014226520203214448,35
VINTAGE DOILY JUMBO BAG RED ,-0.06127331081437809,2011-11-10 12:27:00,-0.04690446394653453,17059,United Kingdom,-0.05900592538047584,35
HOT WATER BOTTLE TEA AND SYMPATHY,-0.027815728960122257,2011-11-07 12:39:00,0.05129513971580809,16817,United Kingdom,0.03754157826760797,35
LUNCH BAG CARS BLUE,-0.016663201675370314,2011-07-11 14:10:00,-0.0663633715846946,13224,United Kingdom,-0.01907977943485405,35
KITCHEN METAL SIGN,-0.06127331081437809,2011-04-21 10:52:00,-0.11614197251952264,15034,United Kingdom,-0.06890657421302063,35
PURPLE PAPER PARASOL,-0.038968256244874204,2011-05-06 08:10:00,-0.007534115934443245,13081,United Kingdom,-0.01519717204954236,35
CHILDREN'S APRON DOLLY GIRL ,-0.005510674390618371,2011-08-04 12:36:00,-0.0459993984749922,17511,United Kingdom,0.00906912410865565,35
GIN + TONIC DIET METAL SIGN,-0.06684957445675406,2011-09-18 12:40:00,-0.025635425365289826,13566,United Kingdom,-0.06421509028910234,35
IVORY HANGING DECORATION  BIRD,-0.005510674390618371,2011-03-02 08:41:00,-0.10256599044638771,15416,United Kingdom,-0.03946346820774038,35
SET OF 6 SPICE TINS PANTRY DESIGN,-0.027815728960122257,2011-03-06 14:15:00,0.03771915764267317,17050,United Kingdom,0.029776363496984613,35
LAUNDRY 15C METAL SIGN,-0.06684957445675406,2011-10-31 14:09:00,-0.0297082199872303,14096,United Kingdom,-0.06450628584300072,35
ENGLISH ROSE HOT WATER BOTTLE,-0.06127331081437809,2011-09-08 19:58:00,0.05129513971580809,14562,United Kingdom,-0.04496382867026526,35
GARDENERS KNEELING PAD KEEP CALM ,-0.06684957445675406,2011-11-28 11:18:00,-0.0663633715846946,14606,United Kingdom,-0.06712704582808611,35
LUNCH BAG DOILEY PATTERN ,0.03909943474838941,2011-06-24 10:33:00,-0.0663633715846946,15981,United Kingdom,0.03430607211318157,35
BLACK MEDIUM GLASS CAKE STAND,-0.06127331081437809,2011-04-06 10:07:00,-0.1052811868610147,17783,United Kingdom,-0.06735353125889595,35
CHRISTMAS TABLE SILVER CANDLE SPIKE,0.01679438017888552,2011-09-27 13:32:00,-0.10347105591793004,13979,United Kingdom,-0.029498109252107062,35
SWALLOWS GREETING CARD,-0.005510674390618371,2011-03-04 12:12:00,-0.12202489808454779,14911,EIRE,-0.05615867996458061,10
12 PENCILS TALL TUBE POSY,0.1952348167349166,2011-08-22 13:30:00,-0.12790782364957293,17585,United Kingdom,-0.027427385313274173,35
HOT BATHS METAL SIGN,-0.005510674390618371,2011-11-18 10:05:00,-0.0459993984749922,16134,United Kingdom,0.00906912410865565,35
RED RETROSPOT CHARLOTTE BAG,-0.05569704717200212,2010-12-05 12:13:00,-0.10256599044638771,18118,United Kingdom,-0.06421509028910234,35
IVORY KITCHEN SCALES,-0.005510674390618371,2011-06-17 11:49:00,0.2051562698780039,15513,United Kingdom,0.22455383399345402,35
NO SINGING METAL SIGN,-0.06684957445675406,2011-06-20 13:14:00,-0.0459993984749922,16713,United Kingdom,-0.06567106805859423,35
LUNCH BAG APPLE DESIGN,-0.06127331081437809,2011-05-03 10:41:00,-0.0663633715846946,17841,United Kingdom,-0.061788460673282544,35
SET OF 3 WOODEN SLEIGH DECORATIONS,-0.005510674390618371,2011-12-01 19:42:00,-0.08446468101554117,17841,United Kingdom,-0.023933038666493652,35
BIRDS MOBILE VINTAGE DESIGN,-0.05569704717200212,2011-04-26 13:25:00,0.128225704796906,13092,United Kingdom,-0.014711846126378403,35
JUMBO BAG WOODLAND ANIMALS,-0.016663201675370314,2011-09-16 14:20:00,-0.04690446394653453,12600,Germany,-0.005167102970820523,14
GREY HEART HOT WATER BOTTLE,-0.050120783529626144,2011-09-30 15:52:00,0.05129513971580809,16613,United Kingdom,-0.01746202635764085,35
SET OF 3 HANGING OWLS OLLIE BEAK,-0.005510674390618371,2011-07-21 19:17:00,-0.08446468101554117,16224,United Kingdom,-0.023933038666493652,35
DOORMAT NEIGHBOURHOOD WITCH ,-0.06684957445675406,2011-11-10 12:37:00,0.5735179167957315,14096,United Kingdom,-0.0213769888044968,35
FLAMES SUNGLASSES PINK LENSES,-0.005510674390618371,2011-03-20 14:35:00,-0.05278738951155967,13102,United Kingdom,0.0032452130306881138,35
UNION JACK FLAG PASSPORT COVER ,-0.050120783529626144,2011-02-07 14:53:00,-0.0459993984749922,14048,United Kingdom,-0.0452873792857079,35
ROUND SNACK BOXES SET OF4 WOODLAND ,-0.005510674390618371,2011-10-10 14:49:00,-0.007534115934443245,12431,Belgium,0.04207128688380495,3
LUNCH BAG SUKI DESIGN ,-0.016663201675370314,2011-08-25 09:55:00,-0.0663633715846946,12714,France,-0.01907977943485405,13
PACK OF 20 NAPKINS PANTRY DESIGN,-0.050120783529626144,2011-04-19 13:41:00,-0.10256599044638771,13263,United Kingdom,-0.06146491005783991,35
BOX OF VINTAGE ALPHABET BLOCKS,-0.06127331081437809,2011-11-07 11:32:00,0.39974534625960445,17623,United Kingdom,0.0048629661079013144,35
SET 7 BABUSHKA NESTING BOXES,0.061404489317893295,2011-12-06 12:19:00,0.03771915764267317,14121,United Kingdom,0.2342603524567332,35
WHITE HANGING HEART T-LIGHT HOLDER,-0.038968256244874204,2011-11-15 12:13:00,-0.007534115934443245,13950,United Kingdom,-0.01519717204954236,35
RED RETROSPOT WRAP ,0.06698075296026927,2011-05-06 11:40:00,-0.12202489808454779,15757,United Kingdom,-0.038492816361412455,35
PICTURE FRAME WOOD TRIPLE PORTRAIT,-0.06127331081437809,2011-04-06 14:25:00,0.16442832365859913,16713,United Kingdom,-0.028786297898133254,35
PEG BAG APPLES DESIGN,-0.038968256244874204,2011-09-07 10:55:00,-0.025635425365289826,14334,United Kingdom,-0.022962386820165735,35
GLITTER CHRISTMAS STAR ,0.12831965302640497,2011-11-24 13:53:00,-0.12338249629186127,14591,United Kingdom,-0.027039124574742994,35
CHARLIE + LOLA RED HOT WATER BOTTLE,-0.05569704717200212,2011-11-16 11:46:00,-0.007534115934443245,17841,United Kingdom,-0.04383140151621601,35
GYMKHANA TREASURE BOOK BOX,-0.06684957445675406,2011-07-14 17:44:00,-0.039211407438424745,16907,United Kingdom,-0.06518574213543027,35
SET OF 4 SANTA PLACE SETTINGS,-0.005510674390618371,2011-09-27 11:52:00,-0.08446468101554117,17490,United Kingdom,-0.023933038666493652,35
RED KITCHEN SCALES,-0.005510674390618371,2010-12-16 10:51:00,0.2051562698780039,16705,United Kingdom,0.22455383399345402,35
CAT BOWL VINTAGE CREAM,-0.06127331081437809,2011-07-20 14:55:00,0.006041866138691672,14056,United Kingdom,-0.05143484097911806,35
BUNNY WOODEN PAINTED WITH BIRD ,-0.005510674390618371,2011-11-16 10:14:00,-0.12338249629186127,16245,United Kingdom,-0.05732346218017411,35
RED TOADSTOOL LED NIGHT LIGHT,-0.038968256244874204,2011-11-15 14:23:00,-0.0663633715846946,18123,United Kingdom,-0.0404341200540683,35
RED STAR CARD HOLDER,-0.038968256244874204,2011-11-03 16:56:00,-0.05278738951155967,15640,United Kingdom,-0.03461020897610078,35
WAKE UP COCKEREL CALENDAR SIGN ,-0.050120783529626144,2011-05-18 11:58:00,0.02866850292724988,14620,United Kingdom,-0.023933038666493652,35
PARISIENNE JEWELLERY DRAWER ,-0.06127331081437809,2011-07-19 13:34:00,0.19836827884143643,15713,United Kingdom,-0.023933038666493652,35
GLASS HEART T-LIGHT HOLDER ,-0.005510674390618371,2011-06-22 11:59:00,-0.10256599044638771,18155,United Kingdom,-0.03946346820774038,35
HEART OF WICKER LARGE,-0.050120783529626144,2011-08-07 12:42:00,-0.007534115934443245,14903,United Kingdom,-0.03428665836065813,35
ROTATING SILVER ANGELS T-LIGHT HLDR,-0.05569704717200212,2011-10-30 14:04:00,-0.025635425365289826,14572,United Kingdom,-0.0477140089015277,35
LIGHT GARLAND BUTTERFILES PINK,-0.06684957445675406,2011-08-03 12:54:00,0.05129513971580809,16324,United Kingdom,-0.058714729826577466,35
SKULLS TAPE,-0.044544519887250174,2010-12-09 20:01:00,-0.11161664516181101,17530,United Kingdom,-0.06195023598100387,35
MR ROBOT SOFT TOY,-0.027815728960122257,2010-12-22 10:29:00,-0.05278738951155967,17593,United Kingdom,-0.02199173497383781,35
HERB MARKER ROSEMARY,-0.005510674390618371,2011-02-07 14:51:00,-0.11161664516181101,12359,Cyprus,-0.04722868297836374,7
SET 12 KIDS  WHITE CHALK STICKS,0.061404489317893295,2011-12-05 12:05:00,-0.12202489808454779,16873,United Kingdom,-0.03985172894627154,35
KINGS CHOICE BISCUIT TIN,-0.06684957445675406,2011-10-05 13:58:00,0.05129513971580809,17841,United Kingdom,-0.058714729826577466,35
RECIPE BOX PANTRY YELLOW DESIGN,-0.06684957445675406,2011-10-10 15:27:00,-0.007534115934443245,14529,United Kingdom,-0.0629208878273318,35
WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.1952348167349166,2011-03-28 09:21:00,-0.12790782364957293,13652,United Kingdom,-0.027427385313274173,35
GLITTER CHRISTMAS HEART ,-0.050120783529626144,2010-12-06 12:52:00,-0.10256599044638771,16919,United Kingdom,-0.06146491005783991,35
GIN + TONIC DIET METAL SIGN,-0.06127331081437809,2011-10-26 12:36:00,-0.025635425365289826,13571,United Kingdom,-0.05596454959531503,35
JINGLE BELL HEART DECORATION,-0.038968256244874204,2011-06-12 14:15:00,-0.0663633715846946,16794,United Kingdom,-0.0404341200540683,35
EIGHT PIECE SNAKE  SET,-0.044544519887250174,2011-11-17 15:16:00,-0.08446468101554117,17799,United Kingdom,-0.052243717517724664,35
SINGLE WIRE HOOK IVORY HEART,-0.06127331081437809,2011-11-22 15:45:00,-0.07541402630011788,14505,United Kingdom,-0.0630826631350531,35
SET OF 12 FAIRY CAKE BAKING CASES,-0.06684957445675406,2011-08-30 12:16:00,-0.10347105591793004,14078,United Kingdom,-0.06978016087471577,35
PICNIC BOXES SET OF 3 RETROSPOT ,-0.06127331081437809,2011-08-17 13:21:00,0.08297243121978959,16755,United Kingdom,-0.040434120054068295,35
LANTERN CREAM GAZEBO ,-0.022239465317746288,2010-12-14 12:58:00,0.08297243121978959,12370,Cyprus,0.07167616819680651,7
PACK OF 12 HEARTS DESIGN TISSUES ,-0.050120783529626144,2011-08-02 12:31:00,-0.12790782364957293,14606,United Kingdom,-0.06871244384375505,35
PINK BLUE FELT CRAFT TRINKET BOX,-0.038968256244874204,2011-11-27 15:59:00,-0.08446468101554117,15861,United Kingdom,-0.04819933482469166,35
PAINTED METAL PEARS ASSORTED,-0.027815728960122257,2011-01-12 16:14:00,-0.06455324064160994,15291,United Kingdom,-0.028721587775044726,35
BELLE JARDINIERE CUSHION COVER,-0.050120783529626144,2011-10-17 10:10:00,0.02866850292724988,14443,United Kingdom,-0.023933038666493652,35
KITCHEN FLOWER POTS WALL PLAQUE,-0.05569704717200212,2011-04-26 11:30:00,0.128225704796906,13842,United Kingdom,-0.014711846126378403,35
CARD CAT AND TREE ,-0.005510674390618371,2011-02-17 12:42:00,-0.12202489808454779,15601,United Kingdom,-0.05615867996458061,35
FRYING PAN PINK POLKADOT,-0.06127331081437809,2011-09-18 15:32:00,0.05129513971580809,14769,United Kingdom,-0.04496382867026526,35
WHITE GOOSE FEATHER CHRISTMAS TREE ,-0.050120783529626144,2011-11-01 14:29:00,-0.007534115934443245,16729,United Kingdom,-0.03428665836065813,35
